"id","zipcode","facility_name","facility_code"
"dhl_facility_49362",49362,"ZAMORA",49
"dhl_facility_49363",49363,"ZAMORA",49
"dhl_facility_49390",49390,"ZAMORA",49
"dhl_facility_49391",49391,"ZAMORA",49
"dhl_facility_49392",49392,"ZAMORA",49
"dhl_facility_49393",49393,"ZAMORA",49
"dhl_facility_49394",49394,"ZAMORA",49
"dhl_facility_49395",49395,"ZAMORA",49
"dhl_facility_49396",49396,"ZAMORA",49
"dhl_facility_49400",49400,"ZAMORA",49
"dhl_facility_49410",49410,"ZAMORA",49
"dhl_facility_49419",49419,"ZAMORA",49
"dhl_facility_49420",49420,"ZAMORA",49
"dhl_facility_49430",49430,"ZAMORA",49
"dhl_facility_49440",49440,"ZAMORA",49
"dhl_facility_49450",49450,"ZAMORA",49
"dhl_facility_49500",49500,"ZAMORA",49
"dhl_facility_49510",49510,"ZAMORA",49
"dhl_facility_49511",49511,"ZAMORA",49
"dhl_facility_49512",49512,"ZAMORA",49
"dhl_facility_49513",49513,"ZAMORA",49
"dhl_facility_49514",49514,"ZAMORA",49
"dhl_facility_49515",49515,"ZAMORA",49
"dhl_facility_49516",49516,"ZAMORA",49
"dhl_facility_49517",49517,"ZAMORA",49
"dhl_facility_49518",49518,"ZAMORA",49
"dhl_facility_49519",49519,"ZAMORA",49
"dhl_facility_49520",49520,"ZAMORA",49
"dhl_facility_49521",49521,"ZAMORA",49
"dhl_facility_49522",49522,"ZAMORA",49
"dhl_facility_49523",49523,"ZAMORA",49
"dhl_facility_49524",49524,"ZAMORA",49
"dhl_facility_49525",49525,"ZAMORA",49
"dhl_facility_49530",49530,"ZAMORA",49
"dhl_facility_49539",49539,"ZAMORA",49
"dhl_facility_49540",49540,"ZAMORA",49
"dhl_facility_49541",49541,"ZAMORA",49
"dhl_facility_49542",49542,"ZAMORA",49
"dhl_facility_49543",49543,"ZAMORA",49
"dhl_facility_49550",49550,"ZAMORA",49
"dhl_facility_49559",49559,"ZAMORA",49
